Area,Gaspoints,gasdensity,ag,urban,barren,water,forest,slope,precip,chla
29.00,14.00,0.48,50.93,4.75,0.21,0.33,43.78,3.04,1253.48,0.84
9.99,24.00,1.04,55.67,1.09,0.04,0.33,42.86,4.35,1280.11,1.02
19.03,57.00,2.40,44.63,3.17,0.18,0.17,51.80,2.60,1298.39,1.47
17.61,0.00,3.00,24.33,1.61,0.29,0.10,73.66,5.67,1316.33,1.40
47.33,100.00,0.00,38.92,2.08,0.25,0.15,58.60,3.58,1275.95,8.29
49.15,144.00,2.11,35.05,1.74,0.09,0.18,62.93,5.30,1284.29,2.24
58.64,61.00,2.93,28.60,2.35,0.05,0.26,68.73,6.09,1316.33,0.81
18.26,0.00,0.00,35.50,0.69,0.23,0.05,63.60,5.68,1329.66,3.27
15.81,4.00,0.25,27.70,3.39,0.22,0.14,68.50,5.15,1267.14,0.93
27.04,11.00,0.41,39.20,4.18,0.11,0.51,56.10,4.74,1252.88,1.02
35.67,0.00,0.00,42.30,1.99,0.30,0.56,55.10,6.06,1299.88,3.18
20.53,0.00,0.00,0.44,0.00,0.00,0.00,99.51,8.76,1302.79,1.61
61.34,0.00,0.00,31.40,1.74,0.44,0.19,66.22,7.97,1307.99,1.75
16.65,0.00,0.00,0.45,0.00,0.01,0.00,99.50,16.59,1395.44,0.40
81.24,0.00,0.00,38.70,11.75,0.46,1.31,47.80,4.06,1308.75,0.66
16.38,1.00,0.06,30.10,23.71,0.10,0.61,45.50,5.43,1257.32,0.84
18.92,0.00,0.00,35.70,23.64,0.43,0.03,40.20,4.37,1270.32,0.63
29.60,0.00,0.00,19.14,1.45,0.07,0.07,79.30,6.69,1276.37,1.93
36.51,7.00,0.19,34.50,25.18,0.18,0.29,39.90,3.01,1262.30,0.22
23.14,1.00,0.04,31.50,0.86,0.04,0.07,67.53,9.11,1298.41,2.73
55.49,133.00,2.40,34.11,2.67,0.08,0.28,62.86,5.03,1298.78,4.72
75.00,0.00,0.00,0.50,0.44,0.00,0.01,99.10,16.57,1371.43,0.32
9.72,0.00,0.00,50.97,4.40,0.02,0.12,44.50,3.87,1262.30,1.31
23.62,0.00,0.00,46.30,5.12,0.21,0.31,48.10,5.26,1272.41,0.36
56.09,0.00,0.00,47.30,26.64,0.61,1.15,24.30,3.60,1271.98,1.16
40.56,0.00,0.00,33.60,2.83,0.20,0.19,63.20,7.58,1346.74,0.65
5.91,0.00,0.00,32.10,0.19,0.26,0.01,67.40,5.93,1329.66,3.33
39.45,0.00,0.00,37.10,3.05,0.16,0.14,59.70,5.91,1280.09,3.41
23.29,0.00,0.00,11.10,0.44,0.02,0.02,88.43,8.07,1286.03,1.03
27.72,0.00,0.00,5.56,0.55,0.03,0.06,93.88,11.31,1379.33,0.78
25.23,0.00,0.00,2.20,0.66,0.01,0.09,97.00,15.60,1394.66,0.46
72.74,211.00,2.90,31.68,1.46,0.05,0.33,66.50,5.04,1298.84,2.36
84.53,219.00,2.59,49.97,4.94,0.11,0.48,44.50,4.03,1303.32,11.66
10.81,14.00,1.29,40.46,2.85,0.17,0.30,56.22,4.26,1265.97,1.33
19.73,41.00,2.08,64.90,1.73,0.62,0.26,32.50,2.42,1274.13,0.59
21.77,3.00,0.14,3.95,0.10,0.03,0.28,95.63,7.32,1295.27,0.32
34.40,0.00,0.00,34.65,1.10,0.23,0.09,63.92,6.11,1276.49,1.60
81.30,0.00,0.00,16.50,0.83,0.12,0.23,82.34,11.74,1339.40,0.45
73.41,36.00,0.49,21.29,1.80,0.03,0.11,76.77,8.91,1302.61,1.58
8.60,0.00,0.00,26.54,0.87,0.17,0.08,72.34,8.18,1262.39,0.44
